Date,Wake Up Time,Miles Run,Press Ups,Sit Ups,Backs,Head Ups,Guitar Played / Hrs,Drinks,Flossed,Finasteride,Mood Score
27/04/2025,12:00,0,0,0,0,0,1,0,No,Yes,7
28/04/2025,9:00,1.8,0,0,0,0,0.5,0,Yes,Yes,8
29/04/2025,9:30,1.8,50,50,25,5,0.5,0,No,Yes,7
30/04/2025,9:30,0,50,50,25,0,0,5,No,No,7
01/05/2025,9:00,1.8,0,0,0,0,0,0,Yes,Yes,7
02/05/2025,9:00,1.8,50,50,25,0,0.5,0,No,Yes,6
03/05/2025,11:00,1,25,25,25,0,1,0,Yes,Yes,7
04/05/2025,11:00,1.8,25,25,25,5,0.5,0,No,Yes,7
05/05/2025,10:00,3,0,0,0,0,0.5,0,Yes,Yes,7
06/05/2025,9:00,1.8,50,50,25,6,1,0,Yes,Yes,7
07/05/2025,6:30,0,0,0,0,0,2.5,0,No,Yes,7
08/05/2025,7:30,5.1,0,0,0,0,1.5,0,Yes,Yes,7
09/05/2025,10:00,5,50,50,50,6,1.5,0,Yes,Yes,7
10/05/2025,12:00,1,50,50,25,0,2,0,Yes,Yes,7
11/05/2025,10:00,3,25,25,25,0,1,0,Yes,Yes,7
12/05/2025,07:30,5,0,0,0,0,1,0,Yes,No,7
13/05/2025,09:30,1,0,0,0,0,3,0,Yes,No,7
14/05/2025,10:30,1,0,0,0,0,1,5,Yes,Yes,8
15/05/2025,9:00,0,0,0,0,0,0,5,No,Yes,7
16/05/2025,10:00,0.5,0,0,0,0,0,6,No,Yes,7
17/05/2025,10:00,0,0,0,0,0,0,7,No,Yes,9
18/05/2025,11:00,0,0,0,0,0,0,3,No,Yes,8
19/05/2025,9:30,0,0,0,0,0,0.5,6,No,Yes,7
20/05/2025,9:00,1,0,0,0,0,1.5,0,No,Yes,7
21/05/2025,9:30,1,0,0,0,0,1.5,4,No,Yes,7
22/05/2025,7:45,6,0,0,0,0,0,10,No,Yes,7
23/05/2025,9:00,0,0,0,0,0,2,14,No,Yes,8
24/05/2025,13:00,0,0,0,0,0,0.5,5,No,Yes,6
25/05/2025,11:00,1.8,0,0,0,0,0.5,0,Yes,Yes,7
26/05/2025,09:00,1,0,0,0,0,2,0,No,Yes,7
26/05/2025,09:00,0,0,0,0,0,2,0,No,Yes,
Invalid Date,,0,0,0,0,0,0,0,Yes,Yes,NaN
